abomasnow,Grass,Ice
abra,Psychic,
absol,Dark,
accelgor,Bug,
aegislash-blade,Steel,Ghost
aerodactyl,Rock,Flying
aggron,Steel,Rock
aipom,Normal,
alakazam,Psychic,
alomomola,Water,
altaria,Dragon,Flying
amaura,Rock,Ice
ambipom,Normal,
amoonguss,Grass,Poison
ampharos,Electric,
anorith,Rock,Bug
araquanid,Water,Bug
arbok,Poison,
arcanine,Fire,
arceus,Normal,
archen,Rock,Flying
archeops,Rock,Flying
ariados,Bug,Poison
armaldo,Rock,Bug
aromatisse,Fairy,
aron,Steel,Rock
articuno,Ice,Flying
audino,Normal,
aurorus,Rock,Ice
avalugg,Ice,
axew,Dragon,
azelf,Psychic,
azumarill,Water,Fairy
azurill,Normal,Fairy
bagon,Dragon,
baltoy,Ground,Psychic
banette,Ghost,
barbaracle,Rock,Water
barboach,Water,Ground
basculin-red-striped,Water,
bastiodon,Rock,Steel
bayleef,Grass,
beartic,Ice,
beautifly,Bug,Flying
beedrill,Bug,Poison
beheeyem,Psychic,
beldum,Steel,Psychic
bellossom,Grass,
bellsprout,Grass,Poison
bergmite,Ice,
bewear,Normal,Fighting
bibarel,Normal,Water
bidoof,Normal,
binacle,Rock,Water
bisharp,Dark,Steel
blacephalon,Fire,Ghost
blastoise,Water,
blaziken,Fire,Fighting
blissey,Normal,
blitzle,Electric,
boldore,Rock,
bonsly,Rock,
bouffalant,Normal,
bounsweet,Grass,
braixen,Fire,
braviary,Normal,Flying
breloom,Grass,Fighting
brionne,Water,
bronzong,Steel,Psychic
bronzor,Steel,Psychic
bruxish,Water,Psychic
budew,Grass,Poison
buizel,Water,
bulbasaur,Grass,Poison
buneary,Normal,
bunnelby,Normal,
burmy,Bug,
butterfree,Bug,Flying
buzzwole,Bug,Fighting
cacnea,Grass,
cacturne,Grass,Dark
camerupt,Fire,Ground
carbink,Rock,Fairy
carnivine,Grass,
carracosta,Water,Rock
carvanha,Water,Dark
cascoon,Bug,
castform,Normal,
caterpie,Bug,
celebi,Psychic,Grass
celesteela,Steel,Flying
chandelure,Ghost,Fire
chansey,Normal,
charizard,Fire,Flying
charjabug,Bug,Electric
charmander,Fire,
charmeleon,Fire,
dustox,Bug,Poison
dwebble,Bug,Rock
eelektrik,Electric,
